                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                   1.47,                 1.3765,                 1.4811,                0.74805,                0.71121,                 0.7424,                0.40574,                 1.5858,                 1.1427,                 1.5523,               0.006733,               0.006733,               0.006733
                     35,                 1.4529,                 1.3585,                 1.4768,                 0.6926,                    0.5,                0.54996,                0.26867,                 1.9036,                 1.8346,                 1.8963,               0.006634,               0.006634,               0.006634
                     36,                 1.4501,                 1.3456,                 1.4657,                0.74574,                 0.6681,                0.72454,                0.39952,                 1.5973,                 1.1673,                 1.5582,               0.006535,               0.006535,               0.006535
                     37,                 1.4427,                 1.3365,                  1.469,                0.77709,                0.68103,                0.75115,                0.41136,                 1.5677,                 1.1379,                 1.5372,               0.006436,               0.006436,               0.006436
                     38,                  1.423,                 1.3025,                 1.4418,                0.66135,                0.65086,                0.67923,                0.34464,                 1.6946,                 1.3088,                 1.5992,               0.006337,               0.006337,               0.006337
                     39,                 1.4114,                 1.3026,                 1.4393,                0.73748,                0.70043,                0.72694,                0.38639,                 1.6171,                 1.1851,                 1.5951,               0.006238,               0.006238,               0.006238
                     40,                 1.3964,                 1.2873,                 1.4426,                0.69419,                 0.5626,                0.60145,                0.31515,                 1.7741,                 1.5584,                 1.7927,               0.006139,               0.006139,               0.006139
                     41,                 1.3927,                  1.286,                 1.4359,                0.80051,                0.69184,                0.77417,                0.42312,                 1.5278,                 1.0918,                 1.5142,                0.00604,                0.00604,                0.00604
                     42,                 1.3847,                 1.2638,                 1.4226,                0.72064,                0.64224,                0.68768,                0.36529,                 1.6728,                 1.2476,                 1.6587,               0.005941,               0.005941,               0.005941
                     43,                 1.3634,                 1.2438,                 1.3975,                0.75548,                0.71552,                0.75798,                 0.4156,                 1.5603,                 1.1109,                 1.5247,               0.005842,               0.005842,               0.005842
                     44,                 1.3692,                 1.2413,                 1.4009,                0.79637,                0.73276,                0.79698,                  0.448,                 1.4855,                 1.0334,                 1.4874,               0.005743,               0.005743,               0.005743
                     45,                 1.3517,                 1.2249,                 1.3885,                0.79061,                0.72198,                0.77592,                0.42862,                 1.5138,                 1.0449,                 1.5031,               0.005644,               0.005644,               0.005644
                     46,                 1.3501,                 1.2184,                 1.3862,                0.84596,                0.71017,                0.78242,                0.44455,                    1.5,                  1.023,                 1.4768,               0.005545,               0.005545,               0.005545
                     47,                  1.359,                 1.2132,                 1.3922,                0.79597,                0.71467,                0.78808,                0.45441,                 1.4872,                  1.046,                 1.4961,               0.005446,               0.005446,               0.005446
                     48,                 1.3356,                 1.2059,                 1.3872,                0.81671,                0.73942,                 0.8088,                 0.4622,                 1.4883,                 1.0236,                 1.4805,               0.005347,               0.005347,               0.005347
                     49,                 1.3204,                 1.1922,                 1.3738,                0.81906,                0.71552,                0.78491,                0.44498,                 1.4918,                  1.036,                 1.5052,               0.005248,               0.005248,               0.005248
                     50,                 1.2967,                 1.1508,                 1.3516,                0.80694,                0.71121,                0.78647,                0.45998,                 1.4593,                 1.0205,                 1.4629,               0.005149,               0.005149,               0.005149
                     51,                  1.287,                 1.1448,                  1.352,                 0.7867,                0.72845,                0.79959,                0.47255,                 1.4506,                0.98747,                 1.4446,                0.00505,                0.00505,                0.00505
                     52,                 1.3003,                 1.1594,                 1.3462,                0.82221,                0.72629,                0.80465,                0.46492,                 1.4397,                0.97328,                 1.4627,               0.004951,               0.004951,               0.004951
                     53,                 1.2778,                 1.1295,                 1.3427,                0.80469,                0.74588,                0.80418,                0.47304,                 1.4504,                0.98417,                 1.4675,               0.004852,               0.004852,               0.004852
                     54,                 1.2593,                 1.1183,                 1.3359,                0.80084,                0.72629,                0.79798,                 0.4633,                 1.4563,                0.99027,                 1.4496,               0.004753,               0.004753,               0.004753
                     55,                 1.2636,                 1.1022,                 1.3285,                0.81804,                0.74138,                0.80889,                0.45734,                 1.4971,                0.97895,                 1.4862,               0.004654,               0.004654,               0.004654
                     56,                 1.2557,                 1.1254,                 1.3265,                0.81066,                0.72896,                0.78672,                0.44895,                 1.4932,                0.99367,                  1.491,               0.004555,               0.004555,               0.004555
                     57,                 1.2335,                 1.0656,                 1.3063,                0.80913,                0.73089,                0.80787,                0.47194,                 1.4437,                0.95999,                 1.4428,               0.004456,               0.004456,               0.004456
                     58,                  1.246,                 1.1032,                 1.3211,                0.78433,                0.71336,                0.77006,                0.44572,                 1.4794,                 1.0331,                 1.4967,               0.004357,               0.004357,               0.004357
                     59,                 1.2235,                 1.0844,                 1.3103,                0.83632,                0.73491,                0.81418,                0.47218,                 1.4637,                0.96814,                 1.4497,               0.004258,               0.004258,               0.004258
                     60,                 1.2154,                 1.0556,                 1.3011,                0.82898,                0.73276,                0.81443,                0.48351,                 1.4301,                0.91854,                 1.4224,               0.004159,               0.004159,               0.004159
                     61,                 1.2332,                 1.0874,                 1.3154,                0.76631,                0.76327,                0.79848,                0.46521,                 1.4616,                0.96571,                 1.4495,                0.00406,                0.00406,                0.00406
                     62,                  1.225,                 1.0707,                 1.3115,                0.81684,                0.75931,                0.80663,                0.47939,                 1.4236,                0.91094,                 1.4336,               0.003961,               0.003961,               0.003961
                     63,                 1.2029,                 1.0369,                 1.2877,                 0.8323,                0.76078,                0.82854,                0.48472,                 1.4243,                0.92609,                 1.4258,               0.003862,               0.003862,               0.003862
                     64,                 1.1789,                  1.025,                  1.285,                0.84851,                0.74569,                0.82704,                0.48796,                 1.4403,                0.90363,                 1.4347,               0.003763,               0.003763,               0.003763
                     65,                 1.1927,                 1.0218,                 1.2875,                0.86237,                0.75431,                0.82826,                0.49028,                 1.4241,                0.90277,                 1.4264,               0.003664,               0.003664,               0.003664
                     66,                 1.1635,                 1.0016,                 1.2719,                0.86764,                0.75431,                0.83132,                0.49006,                 1.4104,                0.89136,                 1.4149,               0.003565,               0.003565,               0.003565
                     67,                 1.1596,                0.99938,                 1.2588,                0.84523,                0.75431,                0.81975,                0.48758,                  1.424,                 0.8959,                 1.4382,               0.003466,               0.003466,               0.003466
                     68,                 1.1587,                 1.0046,                   1.27,                0.80656,                0.78017,                0.83447,                0.49752,                 1.3867,                0.88295,                 1.4148,               0.003367,               0.003367,               0.003367
                     69,                 1.1321,                  0.978,                 1.2573,                0.82832,                0.75431,                0.82213,                0.48387,                 1.4193,                0.88297,                 1.4221,               0.003268,               0.003268,               0.003268
                     70,                 1.1329,                0.97809,                 1.2461,                 0.8173,                0.74784,                0.81152,                0.48954,                 1.4064,                0.90054,                 1.4499,               0.003169,               0.003169,               0.003169
                     71,                   1.14,                0.97533,                 1.2497,                0.86599,                0.75647,                0.81978,                0.47881,                  1.426,                0.91416,                 1.4239,                0.00307,                0.00307,                0.00307
                     72,                  1.125,                 0.9612,                 1.2466,                0.84089,                0.76509,                0.82984,                 0.5111,                 1.3725,                0.86398,                 1.4259,               0.002971,               0.002971,               0.002971
                     73,                 1.1123,                0.94074,                 1.2269,                0.85388,                0.75565,                0.82539,                0.49552,                 1.4006,                 0.8844,                 1.4383,               0.002872,               0.002872,               0.002872
                     74,                 1.1075,                0.94718,                 1.2197,                0.80552,                0.77661,                0.82625,                0.50784,                 1.3738,                0.85487,                 1.4134,               0.002773,               0.002773,               0.002773
                     75,                 1.0851,                0.92789,                 1.2251,                0.86568,                0.73707,                0.84144,                0.51496,                 1.3593,                0.86714,                 1.3909,               0.002674,               0.002674,               0.002674
                     76,                 1.0968,                0.93261,                 1.2163,                0.85773,                 0.7276,                0.82805,                0.50858,                 1.3635,                0.85235,                 1.3973,               0.002575,               0.002575,               0.002575
                     77,                 1.0759,                 0.9154,                  1.207,                0.84924,                0.76078,                0.82991,                0.50649,                 1.3715,                0.87299,                 1.3924,               0.002476,               0.002476,               0.002476
                     78,                 1.0764,                0.92546,                 1.2074,                0.86531,                0.77537,                0.84524,                 0.5191,                 1.3428,                0.82204,                 1.4086,               0.002377,               0.002377,               0.002377
                     79,                 1.0598,                0.91605,                 1.2006,                0.83965,                0.76738,                 0.8335,                0.51486,                 1.3598,                0.81957,                 1.4087,               0.002278,               0.002278,               0.002278
                     80,                 1.0542,                0.90332,                 1.1986,                0.86496,                0.77371,                0.84038,                 0.5177,                 1.3614,                0.81826,                 1.3965,               0.002179,               0.002179,               0.002179
