                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.3485,                 1.2126,                 1.3925,                0.75769,                0.69612,                0.74909,                0.42436,                 1.5441,                 1.0642,                 1.5245,               0.006733,               0.006733,               0.006733
                     35,                 1.3415,                 1.1863,                 1.3795,                0.76812,                0.56034,                0.64494,                0.33841,                 1.7228,                 1.4214,                 1.6813,               0.006634,               0.006634,               0.006634
                     36,                 1.3066,                 1.1301,                 1.3498,                0.77623,                0.60991,                0.67809,                0.36299,                 1.6792,                 1.2828,                 1.6494,               0.006535,               0.006535,               0.006535
                     37,                 1.3096,                 1.1326,                 1.3527,                0.76158,                0.58405,                0.66021,                0.34516,                 1.7264,                  1.365,                 1.6631,               0.006436,               0.006436,               0.006436
                     38,                  1.284,                 1.1334,                 1.3471,                0.82113,                0.70245,                0.79763,                0.45422,                 1.5147,                 0.9772,                 1.4702,               0.006337,               0.006337,               0.006337
                     39,                 1.2843,                 1.1153,                 1.3444,                0.79731,                0.75452,                0.79949,                0.46119,                 1.5067,                0.94373,                 1.4827,               0.006238,               0.006238,               0.006238
                     40,                 1.2738,                 1.0921,                 1.3386,                0.78198,                0.60295,                0.70387,                0.38656,                 1.6508,                 1.2326,                 1.5977,               0.006139,               0.006139,               0.006139
                     41,                 1.2652,                   1.09,                 1.3377,                0.82827,                0.72414,                0.79478,                0.46165,                 1.4698,                0.98647,                 1.4473,                0.00604,                0.00604,                0.00604
                     42,                 1.2646,                 1.1113,                  1.337,                0.82936,                0.72414,                0.80722,                0.46452,                 1.4743,                0.94721,                 1.4308,               0.005941,               0.005941,               0.005941
                     43,                 1.2415,                 1.0891,                  1.314,                0.80946,                0.72414,                0.79576,                0.46767,                 1.4666,                0.94052,                  1.459,               0.005842,               0.005842,               0.005842
                     44,                 1.2216,                  1.027,                 1.3009,                0.79838,                0.70474,                0.78206,                0.44111,                 1.5224,                 1.0046,                 1.5199,               0.005743,               0.005743,               0.005743
                     45,                 1.2204,                 1.0504,                 1.3098,                0.79879,                0.72198,                0.80397,                0.47456,                 1.4715,                0.92487,                 1.4497,               0.005644,               0.005644,               0.005644
                     46,                 1.2178,                 1.0494,                    1.3,                0.81589,                 0.7306,                0.78494,                0.45697,                 1.4928,                0.96456,                 1.4956,               0.005545,               0.005545,               0.005545
                     47,                 1.1964,                 1.0324,                 1.2791,                0.81824,                0.72764,                0.80153,                0.46559,                 1.4863,                 0.9264,                 1.4572,               0.005446,               0.005446,               0.005446
                     48,                 1.1741,                0.99797,                 1.2635,                0.77021,                0.65736,                0.71533,                0.40852,                 1.5191,                 1.1182,                 1.5206,               0.005347,               0.005347,               0.005347
                     49,                  1.171,                0.98276,                 1.2655,                0.81456,                0.73707,                0.80629,                0.46737,                 1.4771,                0.91913,                 1.4475,               0.005248,               0.005248,               0.005248
                     50,                 1.1515,                0.97743,                 1.2573,                 0.8055,                0.68728,                0.76171,                0.43808,                 1.4985,                 1.0675,                 1.5089,               0.005149,               0.005149,               0.005149
                     51,                 1.1528,                0.97985,                 1.2463,                0.83922,                0.77155,                0.83329,                0.49488,                 1.4141,                0.85663,                 1.4231,                0.00505,                0.00505,                0.00505
                     52,                 1.1207,                0.94928,                 1.2413,                0.82008,                0.73922,                0.78309,                0.46046,                 1.4407,                0.91989,                 1.4624,               0.004951,               0.004951,               0.004951
                     53,                 1.1374,                0.96933,                 1.2457,                0.82966,                0.77155,                0.82578,                0.48984,                 1.4056,                0.85942,                 1.4519,               0.004852,               0.004852,               0.004852
                     54,                 1.1305,                0.96437,                 1.2385,                0.83272,                0.76293,                0.82787,                0.50193,                 1.3764,                0.86611,                 1.3949,               0.004753,               0.004753,               0.004753
                     55,                 1.1228,                0.95773,                 1.2394,                0.84291,                0.74353,                0.82005,                0.49936,                  1.386,                0.87065,                  1.402,               0.004654,               0.004654,               0.004654
                     56,                 1.0991,                0.92214,                 1.2197,                0.80726,                0.77371,                0.82716,                0.49865,                   1.36,                0.85493,                 1.3954,               0.004555,               0.004555,               0.004555
                     57,                 1.0876,                0.91226,                 1.2141,                0.80713,                0.65841,                0.73335,                0.41527,                 1.5324,                 1.0662,                 1.4959,               0.004456,               0.004456,               0.004456
                     58,                  1.077,                0.91353,                 1.2072,                0.86119,                0.76216,                0.83482,                0.51062,                 1.3673,                0.83162,                  1.403,               0.004357,               0.004357,               0.004357
                     59,                 1.0609,                0.88845,                 1.1967,                0.84848,                0.76509,                0.83297,                0.50311,                 1.4072,                0.84646,                 1.4042,               0.004258,               0.004258,               0.004258
                     60,                 1.0625,                0.87982,                 1.1944,                0.84637,                0.77176,                0.83646,                0.51414,                  1.377,                0.81428,                 1.3962,               0.004159,               0.004159,               0.004159
                     61,                 1.0421,                0.85885,                 1.1884,                0.85754,                0.78017,                0.83716,                0.50691,                 1.3854,                 0.8017,                 1.4127,                0.00406,                0.00406,                0.00406
                     62,                 1.0519,                0.88455,                 1.1979,                0.83929,                0.76534,                0.83981,                0.52493,                 1.3436,                0.79735,                 1.3753,               0.003961,               0.003961,               0.003961
                     63,                 1.0387,                0.86043,                  1.181,                0.83509,                0.77489,                 0.8355,                0.51916,                 1.3464,                0.77407,                  1.396,               0.003862,               0.003862,               0.003862
                     64,                 1.0272,                0.86447,                 1.1769,                0.79192,                0.80388,                0.83049,                  0.522,                 1.3258,                0.78528,                 1.3643,               0.003763,               0.003763,               0.003763
                     65,                 1.0022,                0.83824,                 1.1678,                0.82281,                0.79063,                0.83987,                0.52834,                 1.3297,                 0.7917,                 1.3836,               0.003664,               0.003664,               0.003664
                     66,                 1.0172,                0.84277,                 1.1721,                0.83618,                0.80388,                0.84314,                0.53126,                 1.3378,                0.75916,                 1.3864,               0.003565,               0.003565,               0.003565
                     67,                0.99315,                0.82342,                 1.1645,                0.83477,                0.77802,                0.84383,                0.53317,                 1.3173,                0.77552,                  1.369,               0.003466,               0.003466,               0.003466
                     68,                0.98592,                0.80995,                 1.1602,                0.79467,                0.79957,                0.84273,                0.52814,                   1.32,                0.78506,                 1.3683,               0.003367,               0.003367,               0.003367
